CallHeuristic,GuardHeuristic,LoopBranchHeuristic,LoopExitHeuristic,LoopHeaderHeuristic,OpcodeHeuristic,PointerHeuristic,ReturnHeuristic,StoreHeuristic,name,"not taken",taken
0,1,1,1,1,1,1,1,0,basic_block9.i.i,0,0
1,1,0,0,1,1,1,0,0,basic_block36.i35.i,0,0
1,1,0,0,1,1,1,1,0,basic_block36.i.i,0,0
0,1,1,1,1,1,1,1,1,basic_block72.i,0,0
1,1,0,0,1,1,1,1,0,basic_block.i27.i,0,0
1,1,0,0,1,1,1,0,1,basic_block.i,0,0
1,1,0,0,1,1,1,0,0,basic_block.i3.i.i,0,0
1,1,0,0,1,1,1,1,0,basic_block18.i9.i,0,0
0,1,1,1,1,1,1,1,1,basic_block36.i,0,0
0,1,1,1,1,1,1,1,1,basic_block18.i4,0,0
1,1,0,0,1,1,1,1,1,basic_block63.i,0,0
1,1,0,0,1,1,1,0,0,basic_block.i.i.i,0,0
0,1,0,0,1,1,1,0,0,basic_block81.i,0,0
0,1,1,1,1,0,1,1,1,basic_block9.i,0,0
0,1,1,1,1,1,1,1,1,basic_block108.i.i,0,0
1,1,1,1,1,1,0,1,1,basic_block27.i40.i,0,0
1,1,0,0,1,1,1,1,0,basic_block45.i8,0,0
1,1,1,1,1,0,1,1,1,basic_block27.i.i,0,0
0,1,1,1,1,0,1,1,1,basic_block18.i,0,0
1,1,1,1,1,0,1,1,1,basic_block36.i6,0,0
1,1,0,0,1,1,1,1,0,basic_block.i.i,0,0
1,1,0,0,1,1,1,1,0,basic_block45.i.i,0,0
1,1,0,0,1,1,1,1,0,basic_block27.i10.i,0,0
1,1,0,0,1,1,1,1,0,basic_block54.i45.i,0,0
0,1,1,1,1,1,1,1,1,basic_block72.i.i,0,0
1,1,0,0,1,1,1,1,0,basic_block81.i.i,0,0
0,1,1,1,1,0,1,1,0,basic_block27.i,0,0
1,1,0,0,1,1,1,1,0,basic_block36.i42.i,0,0
1,1,0,0,1,1,1,1,0,basic_block27.i33.i,0,0
1,1,0,0,1,1,1,1,0,basic_block9.i29.i,0,0
0,1,1,1,1,1,1,1,0,basic_block18.i.i,0,0
0,1,1,1,1,0,1,1,0,basic_block9.i4.i.i,0,0
1,1,1,1,1,1,1,1,0,basic_block9.i3,0,0
0,1,1,1,1,1,0,1,1,basic_block45.i,0,0
1,1,0,0,1,1,1,0,0,basic_block54.i.i,0,0
1,1,0,0,1,1,1,1,0,basic_block18.i31.i,0,0
