CallHeuristic,GuardHeuristic,LoopBranchHeuristic,LoopExitHeuristic,LoopHeaderHeuristic,OpcodeHeuristic,PointerHeuristic,ReturnHeuristic,StoreHeuristic,name,"not taken",taken
1,1,0,0,1,1,1,0,0,basic_block.i105.i,1,8
1,1,1,1,1,1,1,1,0,basic_block450.i,3400,505
1,1,0,0,1,1,1,1,0,basic_block9.i.i,1,1000
1,1,0,0,1,1,1,0,0,basic_block.i65.i,1,8
1,1,0,0,1,1,1,1,0,basic_block72.i,1,3
0,1,1,1,1,1,1,1,0,basic_block9.i14.i,0,0
1,1,0,0,1,1,1,0,1,basic_block.i,1,0
1,1,0,0,1,1,1,0,0,basic_block.i81.i,1,8
1,1,0,0,1,1,1,1,0,basic_block558.i,10000,30000
1,1,0,0,1,1,1,1,0,basic_block324.i,10000,30000
1,1,1,1,1,1,1,1,0,basic_block612.i,6189,506
1,1,0,0,1,1,1,1,0,basic_block45.i7,1,3
0,1,1,1,1,1,1,1,1,basic_block36.i,0,0
1,1,1,1,1,1,1,1,0,basic_block630.i,3306,505
0,1,0,0,1,1,1,0,0,basic_block126.i,1,10000
0,0,1,1,1,1,0,1,1,basic_block54.i,1,0
0,1,1,1,1,0,1,1,0,basic_block9.i90.i,0,0
1,1,0,0,1,1,1,0,0,basic_block.i113.i,1,8
1,1,0,0,1,1,1,0,0,basic_block.i97.i,1,8
1,1,1,1,1,1,1,1,0,basic_block432.i,6095,506
1,1,0,0,1,1,1,1,0,basic_block81.i,1,3
0,1,1,1,1,0,1,1,1,basic_block9.i,0,0
1,1,0,0,1,1,1,1,0,basic_block108.i,1,3
1,1,1,1,1,1,1,1,0,basic_block666.i,4006,1997
0,0,1,1,1,1,0,1,1,basic_block90.i,1,0
0,0,1,1,1,1,0,1,1,basic_block18.i3,1,0
1,1,1,1,1,1,1,1,0,basic_block252.i,5123,1037
1,1,1,1,1,0,1,1,1,basic_block27.i.i,0,0
1,1,0,0,1,1,1,0,0,basic_block.i73.i,1,8
0,1,1,1,1,0,1,1,1,basic_block18.i,0,0
1,1,1,1,1,0,1,1,1,basic_block243.i,6160,3840
1,1,0,0,1,1,1,1,0,basic_block36.i6,1,3
1,1,1,1,1,0,1,1,1,basic_block279.i,5105,4895
1,1,1,1,1,0,1,1,1,basic_block639.i,5994,4006
1,1,0,0,1,1,1,0,0,basic_block.i.i,1,8
1,1,1,1,1,1,1,1,0,basic_block288.i,1399,3706
1,1,1,1,1,1,1,1,0,basic_block270.i,3841,1036
1,1,1,1,1,0,1,1,1,basic_block459.i,5996,4004
1,1,0,0,1,1,1,1,0,basic_block198.i,10000,30000
1,1,1,1,1,1,1,1,0,basic_block486.i,4004,1998
1,1,0,0,1,1,1,1,0,basic_block144.i,10000,30000
1,1,1,1,1,1,1,1,0,basic_block648.i,3997,1997
1,1,1,1,1,1,0,1,1,basic_block9.i2,1,0
0,1,1,1,1,0,1,1,0,basic_block27.i,0,0
1,1,1,1,1,0,1,1,1,basic_block423.i,6601,3399
0,1,1,1,1,1,1,1,0,basic_block18.i.i,0,0
1,1,0,0,1,1,1,1,0,basic_block117.i,1,3
1,1,0,0,1,1,1,0,0,basic_block.i89.i,1,8
1,1,0,0,1,1,1,1,0,basic_block378.i,10000,30000
1,1,1,1,1,1,1,1,0,basic_block306.i,4896,3705
1,1,1,1,1,0,1,1,1,basic_block603.i,6695,3305
1,1,1,1,1,1,1,1,0,basic_block468.i,3998,1998
0,1,1,1,1,1,0,1,1,basic_block45.i,0,0
1,1,0,0,1,1,1,1,0,basic_block504.i,10000,30000
