CallHeuristic,GuardHeuristic,LoopBranchHeuristic,LoopExitHeuristic,LoopHeaderHeuristic,OpcodeHeuristic,PointerHeuristic,ReturnHeuristic,StoreHeuristic,name,"not taken",taken
0,0,0,0,0,0,0,0,0,basic_block27.i.i.i,0,0
1,0,1,1,0,1,0,0,0,basic_block36.i.i,0,0
0,0,1,1,0,0,1,0,0,basic_block18.i.i5.i,0,0
0,0,0,0,0,0,1,0,1,basic_block9.i39.i,0,0
0,0,1,1,0,0,0,1,1,basic_block.i62.i,0,0
1,0,0,0,0,0,1,0,0,basic_block36.i11.i.i,0,0
1,0,0,0,0,1,0,0,1,basic_block9.i71.i,0,0
0,0,0,0,0,1,0,0,1,basic_block108.i,0,0
1,0,1,1,0,0,0,0,0,basic_block.i3,1,0
0,0,1,1,0,0,0,1,1,basic_block.i46.i,0,0
0,1,0,0,0,1,0,0,1,basic_block,0,0
0,1,1,1,0,0,1,0,0,basic_block27,0,0
1,0,0,0,0,1,0,0,0,basic_block45.i8,0,0
0,0,1,1,0,0,0,0,1,basic_block27.i21.i.i,0,0
1,0,0,0,0,1,0,0,0,basic_block18.i,0,0
1,1,0,0,0,1,0,0,1,basic_block99.i,0,0
0,0,1,1,0,0,0,1,1,basic_block.i.i,0,0
1,0,1,1,0,0,0,1,1,basic_block36.i23.i.i,0,0
0,0,0,0,0,1,0,0,0,basic_block9,0,0
1,0,0,0,0,1,0,0,1,basic_block27.i,0,0
0,0,1,1,0,0,0,1,1,basic_block.i9.i,0,0
0,0,0,0,0,0,1,0,0,basic_block99.i.i,0,0
0,0,0,0,0,0,1,0,0,basic_block45,0,0
0,0,1,1,0,0,0,1,1,basic_block.i78.i,0,0
1,0,1,1,0,0,1,0,0,basic_block18.i.i,0,0
1,0,1,1,0,0,0,0,0,basic_block117.i,0,0
1,0,0,0,0,0,1,0,1,basic_block27.i10.i.i,0,0
1,0,0,0,0,0,0,0,1,basic_block9.i101.i,0,0
0,0,1,1,0,0,0,1,1,basic_block.i54.i,0,0
1,0,0,0,0,1,0,0,1,basic_block18.i5,0,0
0,0,1,1,0,0,0,0,1,basic_block9.i.i.i,0,0
1,0,0,0,0,1,0,0,1,basic_block45.i,0,0
0,0,1,1,0,0,0,1,1,basic_block.i70.i,0,0
1,0,1,1,0,0,1,0,0,basic_block117.i.i,0,0
1,0,0,0,0,0,1,0,1,basic_block45.i.i.i,0,0
1,0,1,1,0,0,0,1,1,basic_block18.i9.i.i,0,0
0,0,1,1,0,0,0,1,1,basic_block.i86.i,0,0
0,0,1,1,0,0,0,1,1,basic_block36.i.i.i,0,0
0,0,1,1,0,0,1,0,1,basic_block9.i.i,0,0
1,0,0,0,0,1,0,0,0,basic_block9.i4,0,0
1,0,0,0,0,0,0,0,1,basic_block18.i102.i,0,0
0,0,1,1,0,0,0,1,0,basic_block.i,1,0
0,0,1,1,0,0,1,1,1,basic_block.i3.i,0,0
0,0,1,1,0,0,0,0,1,basic_block18.i19.i.i,0,0
1,0,0,0,0,1,0,0,1,basic_block36.i7,0,0
1,0,1,1,0,0,1,0,0,basic_block36.i.i7.i,0,0
1,0,0,0,0,0,0,0,0,basic_block36.i,0,0
1,0,0,0,0,1,0,0,1,basic_block54.i,0,0
0,0,0,0,0,0,0,0,0,basic_block18.i.i.i,0,0
1,0,1,1,0,0,0,1,1,basic_block126.i,0,0
1,1,0,0,0,1,0,0,1,basic_block63.i,0,0
0,0,1,1,0,0,0,1,1,basic_block.i22.i,0,0
0,0,1,1,0,0,0,0,1,basic_block.i.i.i,0,0
1,0,0,0,0,1,0,0,0,basic_block9.i,0,0
0,0,1,1,0,0,0,1,1,basic_block.i30.i,0,0
0,1,0,0,0,0,1,0,1,basic_block108.i.i,0,0
0,0,0,0,0,1,0,0,1,basic_block90.i,0,0
0,0,0,0,0,1,0,0,0,basic_block27.i.i,0,0
0,0,1,1,0,0,0,1,1,basic_block.i14.i,0,0
1,0,0,0,0,1,0,0,0,basic_block27.i6,0,0
0,0,0,0,0,0,0,0,1,basic_block72.i.i,0,0
0,0,1,1,0,0,1,0,1,basic_block27.i.i6.i,0,0
0,1,0,0,0,0,1,0,0,basic_block81.i.i,0,0
0,0,1,1,0,0,0,0,1,basic_block.i6.i.i,0,0
0,0,1,1,0,0,0,1,1,basic_block.i94.i,0,0
0,0,1,1,0,0,0,0,0,basic_block18,0,0
0,0,1,1,0,0,0,0,1,basic_block9.i7.i.i,0,0
0,0,1,1,0,0,0,1,1,basic_block.i38.i,0,0
