CallHeuristic,GuardHeuristic,LoopBranchHeuristic,LoopExitHeuristic,LoopHeaderHeuristic,OpcodeHeuristic,PointerHeuristic,ReturnHeuristic,StoreHeuristic,name,"not taken",taken
0,1,1,1,1,0,1,1,0,basic_block9.i60.i,0,0
1,1,1,1,1,1,1,1,1,basic_block72.i,290947,7677
1,1,0,0,1,1,1,1,1,basic_block153.i,7677,0
1,1,0,0,1,1,1,0,1,basic_block.i,1,0
1,1,0,0,1,1,1,0,0,basic_block.i75.i,49,392
1,1,0,0,1,1,1,1,1,basic_block45.i7,7714,0
0,1,0,0,1,1,1,1,0,basic_block18.i4,1,10000
0,1,1,1,1,1,1,1,1,basic_block36.i,0,0
1,1,1,1,1,1,1,1,0,basic_block126.i,0,2287
1,1,1,1,1,1,1,1,0,basic_block54.i,0,2286
0,1,1,1,1,1,1,1,0,basic_block18.i11.i,0,0
1,1,0,0,1,1,1,1,1,basic_block63.i,2323,298624
1,1,0,0,1,1,1,1,1,basic_block189.i,7714,0
1,1,0,0,1,1,1,1,1,basic_block81.i,7677,0
0,1,1,1,1,0,1,1,1,basic_block9.i,0,0
1,1,0,0,1,1,1,1,1,basic_block225.i,7678,0
1,1,1,1,1,1,1,1,1,basic_block108.i,266051,7713
1,1,0,0,1,1,1,1,1,basic_block27.i5,2286,273700
1,1,1,1,1,1,1,1,0,basic_block90.i,0,2323
1,1,1,1,1,1,1,1,0,basic_block162.i,0,2323
0,1,1,1,1,1,1,1,0,basic_block9.i10.i,0,0
1,1,0,0,1,1,1,0,0,basic_block.i59.i,49,392
1,1,0,0,1,1,1,0,0,basic_block.i43.i,49,392
0,1,0,0,1,1,1,0,0,basic_block252.i,1,49
1,1,1,1,1,0,1,1,1,basic_block27.i.i,0,0
0,1,0,0,1,1,1,1,0,basic_block243.i,1,49
0,1,1,1,1,0,1,1,1,basic_block18.i,0,0
1,1,0,0,1,1,1,1,1,basic_block99.i,2287,273764
1,1,0,0,1,1,1,0,0,basic_block.i35.i,49,392
1,1,1,1,1,1,1,1,1,basic_block36.i6,265986,7714
1,1,0,0,1,1,1,1,1,basic_block135.i,2323,298646
1,1,0,0,1,1,1,0,0,basic_block.i.i,49,392
1,1,0,0,1,1,1,1,1,basic_block171.i,2286,273732
1,1,1,1,1,1,1,1,0,basic_block198.i,0,2286
1,1,1,1,1,1,1,1,1,basic_block144.i,290969,7677
1,0,1,1,1,1,0,1,0,basic_block9.i2,1,0
0,1,1,1,1,0,1,1,0,basic_block27.i,0,0
1,1,1,1,1,1,1,1,1,basic_block216.i,290943,7678
1,1,1,1,1,1,1,1,1,basic_block180.i,266018,7714
1,1,0,0,1,1,1,1,1,basic_block207.i,2322,298621
1,1,0,0,1,1,1,1,0,basic_block18.i.i,1,232
1,1,0,0,1,1,1,1,1,basic_block117.i,7713,0
1,1,0,0,1,1,1,0,0,basic_block.i51.i,49,392
1,1,1,1,1,1,1,1,0,basic_block234.i,0,2322
1,1,0,0,1,1,1,0,0,basic_block.i83.i,49,392
1,1,0,0,1,1,1,0,0,basic_block.i67.i,49,392
0,1,1,1,1,1,0,1,1,basic_block45.i,0,0
