CallHeuristic,GuardHeuristic,LoopBranchHeuristic,LoopExitHeuristic,LoopHeaderHeuristic,OpcodeHeuristic,PointerHeuristic,ReturnHeuristic,StoreHeuristic,name,"not taken",taken
0,0,1,1,0,0,0,0,1,basic_block27.i.i14,200,1770
0,0,1,1,0,0,0,1,1,basic_block.i75.i.i,200,1600
0,1,1,1,0,1,0,0,0,basic_block36.i.i,0,21
0,0,0,0,0,1,0,0,0,basic_block126.i.i,640,0
0,0,1,1,0,0,0,1,1,basic_block.i3.i.i,0,0
0,0,1,1,0,0,0,1,1,basic_block.i59.i.i,200,1600
0,0,1,1,0,0,0,1,1,basic_block.i251.i.i,839,6712
0,0,0,0,0,1,0,0,0,basic_block36.i.i15,839,931
0,0,1,1,0,0,0,1,1,basic_block.i203.i.i,931,7448
0,0,1,1,0,0,0,1,1,basic_block.i275.i.i,839,6712
0,0,1,1,0,0,0,1,1,basic_block.i83.i.i,200,1600
0,0,1,1,0,0,0,1,1,basic_block.i131.i.i,931,7448
0,0,1,1,0,0,0,1,1,basic_block.i291.i.i,839,6712
0,0,1,1,0,0,0,1,1,basic_block.i27.i.i,200,1600
0,0,1,1,0,0,0,1,1,basic_block,201,100
0,0,1,1,0,0,0,1,1,basic_block.i107.i.i,200,1600
0,0,0,0,0,1,0,0,0,basic_block27,839,931
0,0,1,1,0,0,0,1,1,basic_block.i147.i.i,931,7448
1,0,0,0,0,1,0,0,0,basic_block18.i,0,0
1,0,0,0,0,1,0,0,1,basic_block9.i28.i.i,0,0
0,0,1,1,0,0,0,1,1,basic_block.i99.i.i,200,1600
0,0,1,1,0,0,0,1,1,basic_block.i195.i.i,931,7448
0,0,1,1,0,0,0,1,1,basic_block.i187.i.i,931,7448
0,0,1,1,0,0,0,1,1,basic_block.i339.i.i,839,6712
0,0,0,0,0,0,0,0,0,basic_block9.i348.i.i,0,0
0,0,1,1,0,0,0,0,0,basic_block.i4,1,200
1,0,0,0,0,1,0,0,1,basic_block27.i,0,0
0,0,1,1,0,0,0,0,0,basic_block90.i.i,198,3599
1,0,1,1,0,0,0,0,0,basic_block9,100,200000
1,0,0,0,0,0,0,0,1,basic_block9.i18,0,0
0,0,1,1,0,0,0,1,1,basic_block.i315.i.i,839,6712
1,0,0,0,0,0,1,0,0,basic_block99.i.i,198,0
0,0,1,1,0,0,0,1,1,basic_block.i235.i.i,839,6712
1,0,0,0,0,0,1,0,0,basic_block18.i.i,198,1
0,0,1,1,0,0,0,1,1,basic_block.i371.i.i,0,0
0,0,1,1,0,0,0,1,1,basic_block.i67.i.i,200,1600
0,0,1,1,0,1,0,1,1,basic_block.i14.i.i,0,0
1,0,0,0,0,1,0,0,1,basic_block45.i,0,0
0,0,0,0,0,1,0,0,0,basic_block54.i.i,0,1
0,0,1,1,0,0,0,1,1,basic_block.i267.i.i,839,6712
0,0,1,1,0,0,0,1,1,basic_block.i363.i.i,0,0
0,0,1,1,0,0,0,1,1,basic_block.i323.i.i,839,6712
1,0,0,0,0,0,1,0,0,basic_block9.i.i,1,0
0,0,0,0,0,1,0,0,0,basic_block135.i.i,0,198
0,0,1,1,0,0,0,1,1,basic_block.i11.i.i,0,0
0,0,1,1,0,0,0,1,0,basic_block.i,2,200
0,0,1,1,0,0,0,0,0,basic_block63.i.i,198,847
0,0,1,1,0,0,0,1,1,basic_block.i259.i.i,839,6712
1,0,0,0,0,0,0,0,0,basic_block36.i,0,0
0,0,0,0,0,0,1,0,1,basic_block9.i10,200,0
0,0,1,1,0,1,0,1,1,basic_block.i.i.i,0,0
1,0,0,0,0,1,0,0,0,basic_block9.i,0,200
0,0,1,1,0,0,0,1,1,basic_block.i211.i.i,931,7448
0,0,1,1,0,0,0,1,1,basic_block.i179.i.i,931,7448
0,0,1,1,0,0,0,1,1,basic_block.i355.i.i,0,0
0,0,1,1,0,0,0,1,1,basic_block.i299.i.i,839,6712
0,0,1,1,0,0,0,1,1,basic_block.i155.i.i,931,7448
0,0,1,1,0,0,0,1,1,basic_block.i123.i.i,931,7448
0,0,0,0,0,0,0,0,0,basic_block108.i.i,198,640
0,0,1,1,0,0,0,1,1,basic_block.i51.i.i,200,1600
0,0,1,1,0,0,0,1,1,basic_block.i227.i.i,839,6712
0,0,1,1,0,0,0,1,1,basic_block.i171.i.i,931,7448
0,0,1,1,0,0,0,1,1,basic_block.i331.i.i,839,6712
0,0,1,1,0,0,0,1,1,basic_block.i219.i.i,839,6712
0,0,1,1,0,0,0,1,1,basic_block.i243.i.i,839,6712
0,0,1,1,0,0,0,1,1,basic_block.i.i.i13,0,0
1,0,0,0,0,0,1,0,0,basic_block27.i.i,1,0
0,0,1,1,0,0,0,1,1,basic_block.i347.i.i,0,0
1,0,1,1,0,0,0,0,1,basic_block.i9,1,200
0,0,1,1,0,0,0,1,1,basic_block.i19.i.i,0,0
0,0,1,1,0,0,0,0,0,basic_block45.i.i,1,20
0,0,1,1,0,0,0,1,1,basic_block.i283.i.i,839,6712
0,0,0,0,0,1,0,0,0,basic_block72.i.i,674,173
0,1,1,1,0,1,0,0,0,basic_block81.i.i,0,3797
0,0,1,1,0,0,0,1,1,basic_block.i139.i.i,931,7448
1,0,0,0,0,0,1,0,0,basic_block9.i.i11,200,0
0,0,1,1,0,1,0,1,1,basic_block.i9.i.i,0,0
0,0,1,1,0,0,0,0,1,basic_block18,200,1770
0,0,1,1,0,0,0,1,1,basic_block.i35.i.i,200,1600
0,0,1,1,0,0,0,1,1,basic_block.i91.i.i,200,1600
