CallHeuristic,GuardHeuristic,LoopBranchHeuristic,LoopExitHeuristic,LoopHeaderHeuristic,OpcodeHeuristic,PointerHeuristic,ReturnHeuristic,StoreHeuristic,name,"not taken",taken
1,1,1,1,1,1,1,1,1,basic_block72.i,4150,600
1,1,1,1,1,0,1,1,0,basic_block153.i,2750,0
1,1,0,0,1,1,1,0,0,basic_block.i174.i,200,1600
1,1,0,0,1,1,1,0,0,basic_block.i158.i,200,1600
0,1,0,0,1,1,1,0,0,basic_block432.i,1,200
1,1,0,0,1,1,1,0,0,basic_block.i190.i,200,1600
1,0,1,1,1,0,1,1,0,basic_block108.i,2750,0
1,1,0,0,1,1,1,0,0,basic_block.i110.i,200,1600
0,1,1,1,1,1,1,1,0,basic_block18.i20.i,0,0
1,0,1,1,1,0,1,1,1,basic_block162.i,500,9500
1,1,0,0,1,1,1,1,1,basic_block,0,2977650
1,1,1,1,1,0,1,1,1,basic_block405.i,0,2750
0,1,1,1,1,0,1,1,1,basic_block18.i,0,0
0,1,1,1,1,1,1,1,0,basic_block99.i,2750,1400
1,0,1,1,1,0,1,1,0,basic_block243.i,2750,0
1,1,1,1,1,0,1,1,0,basic_block36.i6,2000,7500
1,1,1,1,1,0,1,1,1,basic_block135.i,0,2750
1,1,0,0,1,1,1,0,0,basic_block.i.i,200,1600
1,1,1,1,1,0,1,1,0,basic_block288.i,2750,0
1,1,1,1,1,0,1,1,1,basic_block270.i,0,2750
1,1,1,1,1,1,1,1,0,basic_block144.i,0,0
1,1,0,0,1,1,1,0,0,basic_block.i10,200,1600
1,1,1,1,1,1,1,1,1,basic_block9,2882700,94950
0,1,1,1,1,0,1,1,0,basic_block27.i,0,0
1,1,1,1,1,1,1,1,1,basic_block45,101700,39150
1,1,1,1,1,1,1,1,1,basic_block207.i,4150,600
1,1,0,0,1,1,1,0,0,basic_block.i78.i,200,1600
1,1,0,0,1,1,1,1,1,basic_block36,0,140850
1,1,1,1,1,1,1,1,0,basic_block414.i,0,0
0,1,1,1,1,1,1,1,0,basic_block234.i,2750,1400
1,1,0,0,1,1,1,0,0,basic_block.i142.i,200,1600
0,1,1,1,1,1,0,1,1,basic_block45.i,0,0
1,1,0,0,1,1,1,0,0,basic_block.i150.i,200,1600
1,1,0,0,1,1,1,0,0,basic_block.i70.i,200,1600
1,1,0,0,1,1,1,0,0,basic_block.i86.i,200,1600
1,1,0,0,1,1,1,1,1,basic_block54,39150,0
1,1,0,0,1,1,1,0,0,basic_block.i118.i,200,1600
0,0,1,1,1,1,0,1,1,basic_block9.i.i,1,0
1,1,0,0,1,1,1,0,0,basic_block.i134.i,200,1600
1,1,0,0,1,1,1,0,0,basic_block.i17,200,1600
1,1,0,0,1,1,1,0,1,basic_block.i,1,0
1,1,0,0,1,1,1,0,0,basic_block.i102.i,200,1600
1,1,1,1,1,1,1,1,1,basic_block315.i,4750,2750
1,1,0,0,1,1,1,0,0,basic_block.i126.i,200,1600
1,1,0,0,1,1,1,0,0,basic_block.i166.i,200,1600
1,1,0,0,1,1,1,0,0,basic_block.i182.i,200,1600
0,1,1,1,1,1,1,1,1,basic_block36.i,0,0
0,1,0,0,1,1,1,1,0,basic_block18.i4,1,10000
1,1,1,1,1,1,1,1,1,basic_block45.i7,4750,2750
1,0,1,1,1,1,1,1,0,basic_block126.i,4150,0
1,1,1,1,1,1,1,1,1,basic_block342.i,4150,600
0,1,1,1,1,0,1,1,1,basic_block9.i,0,0
1,0,1,1,1,0,1,1,1,basic_block27.i5,500,9500
0,1,1,1,1,1,1,1,0,basic_block369.i,2750,1400
0,1,1,1,1,0,1,1,0,basic_block9.i191.i,0,0
1,1,0,0,1,1,1,0,0,basic_block.i25,200,1600
1,1,1,1,1,1,1,1,0,basic_block279.i,0,0
1,1,1,1,1,0,1,1,0,basic_block171.i,2000,7500
0,1,1,1,1,1,1,1,0,basic_block9.i19.i,0,0
1,1,0,0,1,1,1,0,0,basic_block81.i.i,1,200
1,1,1,1,1,0,1,1,0,basic_block423.i,2750,0
1,1,1,1,1,1,1,1,1,basic_block180.i,4750,2750
1,0,1,1,1,1,1,1,0,basic_block396.i,4150,0
1,0,1,1,1,0,1,1,0,basic_block378.i,2750,0
1,1,1,1,1,0,1,1,0,basic_block306.i,2000,7500
1,1,0,0,1,1,1,0,0,basic_block.i94.i,200,1600
1,0,1,1,1,1,1,1,0,basic_block261.i,4150,0
1,1,1,1,1,0,1,1,1,basic_block27.i21.i,0,0
1,1,0,0,1,1,1,1,1,basic_block18,94950,0
1,0,1,1,1,0,1,1,1,basic_block297.i,500,9500
