CallHeuristic,GuardHeuristic,LoopBranchHeuristic,LoopExitHeuristic,LoopHeaderHeuristic,OpcodeHeuristic,PointerHeuristic,ReturnHeuristic,StoreHeuristic,name,"not taken",taken
0,1,0,0,1,1,1,0,0,basic_block756.i,1,2420
1,1,1,1,1,0,1,1,1,basic_block450.i,2335,2423
1,1,1,1,1,0,1,1,1,basic_block360.i,4640,118
1,1,0,0,1,1,1,1,0,basic_block9.i.i,1,2420
1,0,1,1,1,0,1,1,1,basic_block387.i,118,4522
1,1,0,0,1,1,1,0,0,basic_block.i11.i.i,2420,19360
1,1,0,0,1,1,1,0,1,basic_block.i,1,0
1,1,0,0,1,1,1,0,0,basic_block.i3.i.i,2420,19360
1,0,1,1,1,0,1,1,0,basic_block621.i,118,0
1,1,1,1,1,1,1,1,0,basic_block324.i,15,4746
0,1,1,1,1,0,1,1,0,basic_block513.i,95239,4761
1,1,0,0,1,1,1,1,0,basic_block18.i4,1,100000
0,1,1,1,1,1,1,1,1,basic_block36.i,0,0
1,0,1,1,1,0,1,1,1,basic_block630.i,118,4521
1,1,0,0,1,1,1,0,0,basic_block.i.i.i,2420,19360
1,0,1,1,1,0,1,1,1,basic_block432.i,118,4522
1,1,1,1,1,1,1,1,1,basic_block351.i,4758,3
1,0,1,1,1,0,1,1,1,basic_block189.i,118,4521
1,1,1,1,1,1,1,1,0,basic_block81.i,15,4746
0,1,1,1,1,0,1,1,1,basic_block9.i,0,0
1,0,1,1,1,0,1,1,1,basic_block675.i,118,4521
1,1,1,1,1,1,1,1,1,basic_block594.i,4757,4
1,1,1,1,1,1,1,1,1,basic_block108.i,4757,4
0,1,1,1,1,0,1,1,0,basic_block27.i5,95239,4761
1,0,1,1,1,0,1,1,0,basic_block666.i,118,0
1,1,1,1,1,0,1,1,1,basic_block162.i,4639,118
1,1,1,1,1,0,1,1,0,basic_block738.i,121,4640
1,1,1,1,1,0,1,1,1,basic_block405.i,4640,118
1,1,1,1,1,0,1,1,0,basic_block252.i,122,4639
1,1,1,1,1,0,1,1,1,basic_block27.i.i,0,0
0,1,1,1,1,0,1,1,1,basic_block18.i,0,0
1,0,1,1,1,0,1,1,0,basic_block135.i,118,0
0,1,1,1,1,0,1,1,0,basic_block270.i,95239,4761
1,1,0,0,1,1,1,0,0,basic_block.i19.i.i,2420,19360
1,0,1,1,1,0,1,1,1,basic_block144.i,118,4521
1,1,1,1,1,0,1,1,1,basic_block648.i,4639,118
1,1,1,1,1,1,0,1,1,basic_block9.i2,1,0
0,1,1,1,1,0,1,1,0,basic_block27.i,0,0
1,1,1,1,1,0,1,1,0,basic_block495.i,120,4641
1,0,1,1,1,0,1,1,0,basic_block423.i,118,0
1,0,1,1,1,0,1,1,0,basic_block180.i,118,0
1,1,1,1,1,0,1,1,1,basic_block207.i,2334,2423
0,1,1,1,1,1,1,1,0,basic_block18.i.i,0,0
1,1,1,1,1,0,1,1,1,basic_block117.i,4639,118
1,0,1,1,1,0,1,1,0,basic_block378.i,118,0
1,1,1,1,1,0,1,1,1,basic_block603.i,4639,118
0,1,1,1,1,1,1,1,0,basic_block9.i21.i,0,0
0,1,1,1,1,0,1,1,0,basic_block9.i4.i.i,0,0
1,1,1,1,1,1,1,1,0,basic_block567.i,17,4744
0,1,1,1,1,1,0,1,1,basic_block45.i,0,0
1,1,1,1,1,0,1,1,1,basic_block693.i,2334,2423
