CallHeuristic,GuardHeuristic,LoopBranchHeuristic,LoopExitHeuristic,LoopHeaderHeuristic,OpcodeHeuristic,PointerHeuristic,ReturnHeuristic,StoreHeuristic,name,"not taken",taken
0,1,1,1,1,1,1,1,0,basic_block9.i8.i,0,0
1,0,1,1,1,1,1,1,0,basic_block450.i,47601,300
1,1,1,1,1,1,1,1,1,basic_block360.i,47601,300
1,1,0,0,1,1,1,1,0,basic_block9.i.i,1,500
1,1,0,0,1,1,1,0,0,basic_block.i65.i,1,8
1,0,1,1,1,1,1,1,0,basic_block72.i,47601,300
1,1,1,1,1,1,1,1,1,basic_block153.i,47601,300
1,1,1,1,1,1,1,1,1,basic_block441.i,47901,2099
1,1,0,0,1,1,1,0,1,basic_block.i,1,0
1,1,0,0,1,1,1,0,0,basic_block.i81.i,1,8
1,1,1,1,1,1,1,1,1,basic_block531.i,47601,300
1,1,1,1,1,1,1,1,1,basic_block324.i,47601,300
1,1,1,1,1,1,1,1,1,basic_block513.i,47601,300
1,0,1,1,1,0,1,1,1,basic_block45.i7,43100,6900
0,1,0,0,1,1,1,0,0,basic_block18.i4,1,50000
0,1,1,1,1,1,1,1,1,basic_block36.i,0,0
1,1,1,1,1,1,1,1,1,basic_block342.i,47601,300
1,1,1,1,1,1,1,1,1,basic_block63.i,47901,2099
1,1,1,1,1,1,1,1,1,basic_block189.i,47601,300
1,1,1,1,1,1,1,1,1,basic_block81.i,47601,300
0,1,1,1,1,0,1,1,1,basic_block9.i,0,0
1,1,1,1,1,1,1,1,1,basic_block225.i,49701,299
0,1,1,1,1,0,1,1,0,basic_block9.i66.i,0,0
1,1,1,1,1,1,1,1,1,basic_block27.i5,42801,7199
1,1,0,0,1,1,1,0,0,basic_block.i57.i,1,8
1,1,1,1,1,1,1,1,1,basic_block252.i,47901,2099
1,1,1,1,1,0,1,1,1,basic_block27.i.i,0,0
1,1,0,0,1,1,1,0,0,basic_block.i73.i,1,8
1,1,0,0,1,1,1,0,0,basic_block.i41.i,1,8
1,1,1,1,1,1,1,1,1,basic_block477.i,47601,300
0,1,1,1,1,0,1,1,1,basic_block18.i,0,0
1,1,1,1,1,1,1,1,1,basic_block99.i,47601,300
1,1,1,1,1,1,1,1,1,basic_block36.i6,49701,299
1,1,1,1,1,1,1,1,1,basic_block135.i,47601,300
1,1,0,0,1,1,1,0,0,basic_block.i.i,1,8
1,1,1,1,1,1,1,1,1,basic_block288.i,47601,300
1,1,1,1,1,1,1,1,1,basic_block171.i,47601,300
1,1,1,1,1,1,1,1,1,basic_block270.i,47601,300
1,1,1,1,1,1,1,1,1,basic_block459.i,47601,300
1,1,1,1,1,1,0,1,1,basic_block9.i2,1,0
1,1,1,1,1,1,1,1,1,basic_block549.i,47601,300
1,1,1,1,1,1,1,1,1,basic_block495.i,47601,300
0,1,1,1,1,0,1,1,0,basic_block27.i,0,0
1,0,1,1,1,0,1,1,1,basic_block423.i,43100,6900
1,1,1,1,1,1,1,1,1,basic_block207.i,42801,7199
0,1,1,1,1,1,1,1,0,basic_block18.i.i,0,0
1,1,1,1,1,1,1,1,1,basic_block396.i,42801,7199
1,1,1,1,1,1,1,1,1,basic_block117.i,47601,300
1,1,0,0,1,1,1,0,0,basic_block.i89.i,1,8
1,1,1,1,1,1,1,1,1,basic_block378.i,47601,300
1,1,1,1,1,1,1,1,1,basic_block414.i,49701,299
1,0,1,1,1,0,1,1,1,basic_block234.i,43100,6900
1,1,1,1,1,1,1,1,1,basic_block306.i,47601,300
1,0,1,1,1,1,1,1,0,basic_block261.i,47601,300
1,1,1,1,1,1,1,1,1,basic_block567.i,47601,300
1,1,0,0,1,1,1,0,0,basic_block.i49.i,1,8
0,1,1,1,1,1,0,1,1,basic_block45.i,0,0
